"Date","Number of Sales"
"2020-05-14",4642345
"2020-05-15",4645042
"2020-05-16",4648474
"2020-05-17",4652020
"2020-05-18",4654444
"2020-05-19",4656747
"2020-05-20",4659278
"2020-05-21",4661603
"2020-05-22",4664147
"2020-05-23",4668967
"2020-05-24",4673303
"2020-05-25",4676694
"2020-05-26",4679678
"2020-05-27",4682505
"2020-05-28",4685176
"2020-05-29",4687851
"2020-05-30",4690174
"2020-05-31",4692038
"2020-06-01",4693787
"2020-06-02",4695205
"2020-06-03",4696784
"2020-06-04",4700087
"2020-06-05",4702354
"2020-06-06",4705340
"2020-06-07",4707550
"2020-06-08",4709512
"2020-06-09",4711269
"2020-06-10",4713017
"2020-06-11",4716251
"2020-06-12",4718492
"2020-06-13",4720845
"2020-06-14",4723992
"2020-06-15",4726097
"2020-06-16",4728779
"2020-06-17",4730315
"2020-06-18",4732179
"2020-06-19",4733765
"2020-06-20",4736536
"2020-06-21",4739480
"2020-06-22",4741200
"2020-06-23",4744566
"2020-06-24",4746283
"2020-06-25",4749844
"2020-06-26",4751820
"2020-06-27",4753949
"2020-06-28",4755582
"2020-06-29",4757063
"2020-06-30",4760181
"2020-07-01",4762083
"2020-07-02",4764405
"2020-07-03",4766378
"2020-07-04",4769721
"2020-07-05",4772218
"2020-07-06",4774243
"2020-07-07",4776290
"2020-07-08",4778725
"2020-07-09",4781619
"2020-07-10",4784517
"2020-07-11",4788627
"2020-07-12",4791667
"2020-07-13",4793313
"2020-07-14",4795068
"2020-07-15",4796927
"2020-07-16",4798954
"2020-07-17",4800584
"2020-07-18",4802692
"2020-07-19",4804140
"2020-07-20",4805511
"2020-07-21",4807077
"2020-07-22",4808574
"2020-07-23",4810013
"2020-07-24",4811613
"2020-07-25",4813348
"2020-07-26",4814742
"2020-07-27",4815770
"2020-07-28",4816923
"2020-07-29",4818064
"2020-07-30",4819513
"2020-07-31",4820622
"2020-08-01",4821863
"2020-08-02",4823189
"2020-08-03",4824332
"2020-08-04",4829678
"2020-08-05",4831654
"2020-08-06",4833331
"2020-08-07",4834839
"2020-08-08",4836619
"2020-08-09",4837895
"2020-08-10",4838771
"2020-08-11",4839574
"2020-08-12",4839925
"2020-08-13",4840960
"2020-08-14",4841954
"2020-08-15",4842925
"2020-08-16",4844164
"2020-08-17",4845042
"2020-08-18",4846132
"2020-08-19",4847120
"2020-08-20",4848389
"2020-08-21",4849287
"2020-08-22",4850336
"2020-08-23",4851678
"2020-08-24",4852678
"2020-08-25",4853931
"2020-08-26",4855122
"2020-08-27",4856453
"2020-08-28",4857888
"2020-08-29",4861130
"2020-08-30",4863690
"2020-08-31",4864991
"2020-09-01",4865233
"2020-09-02",4865950
"2020-09-03",4867130
"2020-09-04",4868658
