"Date","Primary Sales USD"
"2019-06-14",41907018.47
"2019-06-15",41923131.74
"2019-06-16",41935618.6
"2019-06-17",41944949.95
"2019-06-18",42010288.93
"2019-06-19",42073857.1
"2019-06-20",42080920.17
"2019-06-21",42207840.23
"2019-06-22",42250724
"2019-06-23",42259422.44
"2019-06-24",42269995.86
"2019-06-25",42285174.75
"2019-06-26",42296296.4
"2019-06-27",42300280.99
"2019-06-28",42305725.52
"2019-06-29",42317124.73
"2019-06-30",42328552.55
"2019-07-01",42334735.13
"2019-07-02",42339449.75
"2019-07-03",42347248.71
"2019-07-04",42357181
"2019-07-05",42364467.77
"2019-07-06",42371980.83
"2019-07-07",42383019.91
"2019-07-08",42389655.18
"2019-07-09",42399975.25
"2019-07-10",42409796.29
"2019-07-11",42416804.19
"2019-07-12",42424459.8
"2019-07-13",42437520.25
"2019-07-14",42446319.62
"2019-07-15",42477013.61
"2019-07-16",42480912.56
"2019-07-17",42488914.15
"2019-07-18",42496098.83
"2019-07-19",42503614.33
"2019-07-20",42514882.22
"2019-07-21",42525009.31
"2019-07-22",42532042.4
"2019-07-23",42542948.75
"2019-07-24",42549301.22
"2019-07-25",42555871.94
"2019-07-26",42565027.34
"2019-07-27",42572606.92
"2019-07-28",42580311.14
"2019-07-29",42588612.06
"2019-07-30",42609607.59
"2019-07-31",42615636.03
"2019-08-01",42622698.08
"2019-08-02",42630048.85
"2019-08-03",42636749.47
"2019-08-04",42646269.59
"2019-08-05",42652422.99
"2019-08-06",42659861.85
"2019-08-07",42667200.32
"2019-08-08",42675616.85
"2019-08-09",42681248.24
"2019-08-10",42686149.14
"2019-08-11",42691515.68
"2019-08-12",42697394.05
"2019-08-13",42704616.5
"2019-08-14",42717293.12
"2019-08-15",42727092.58
"2019-08-16",42733193.62
"2019-08-17",42739502.63
"2019-08-18",42746909.94
"2019-08-19",42753543.36
"2019-08-20",42761796.77
"2019-08-21",42767405.43
"2019-08-22",42773803.55
"2019-08-23",42781293.38
"2019-08-24",42787653.6
"2019-08-25",42794554.28
"2019-08-26",42819134.92
"2019-08-27",42827646.11
"2019-08-28",42835131.24
"2019-08-29",42843215.98
"2019-08-30",42851666.93
"2019-08-31",42861453.92
"2019-09-01",42874605.27
"2019-09-02",42883711.53
"2019-09-03",42891885.4
"2019-09-04",42912629.15
"2019-09-05",42918214.51
"2019-09-06",42924276.88
"2019-09-07",42931890
"2019-09-08",42936305.21
"2019-09-09",42973365.82
"2019-09-10",42978458.17
"2019-09-11",42982843.81
"2019-09-12",42989361.96
"2019-09-13",42995999.53
"2019-09-14",43002231.81
"2019-09-15",43008591.01
"2019-09-16",43019281.99
"2019-09-17",43022556
"2019-09-18",43026772.35
"2019-09-19",43030494.35
"2019-09-20",43038277.14
"2019-09-21",43045289.14
"2019-09-22",43053226.22
"2019-09-23",43063095.44
"2019-09-24",43067662.47
"2019-09-25",43073218.91
"2019-09-26",43081928.01
"2019-09-27",43084857.72
"2019-09-28",43091168.5
"2019-09-29",43139019.78
"2019-09-30",43147599.63
"2019-10-01",43154484.69
"2019-10-02",43176664.41
"2019-10-03",43184286.9
"2019-10-04",43190651.39
"2019-10-05",43197523.58
"2019-10-06",43204530.25
"2019-10-07",43212643.21
"2019-10-08",43219904.84
"2019-10-09",43297607.79
"2019-10-10",43331711.13
"2019-10-11",43337424.17
"2019-10-12",43347446.77
"2019-10-13",43408977.39
"2019-10-14",43501340.92
"2019-10-15",43703634.06
"2019-10-16",43807682.37
"2019-10-17",43929509.17
"2019-10-18",44011819.11
"2019-10-19",44100782.87
"2019-10-20",44346777.29
"2019-10-21",44386091.67
"2019-10-22",44438220.81
"2019-10-23",44476718.8
"2019-10-24",44521093.57
"2019-10-25",44573143.53
"2019-10-26",44624967.46
