"Date","Active Market Wallets"
"2020-05-27",162178
"2020-05-28",162335
"2020-05-29",162399
"2020-05-30",162557
"2020-05-31",162740
"2020-06-01",162912
"2020-06-02",162992
"2020-06-03",163077
"2020-06-04",163144
"2020-06-05",163238
"2020-06-06",163393
"2020-06-07",163510
"2020-06-08",163669
"2020-06-09",163745
"2020-06-10",163812
"2020-06-11",164180
"2020-06-12",164263
"2020-06-13",164451
"2020-06-14",164542
"2020-06-15",164702
"2020-06-16",164784
"2020-06-17",164861
"2020-06-18",164982
"2020-06-19",165088
"2020-06-20",165169
"2020-06-21",165310
"2020-06-22",165343
"2020-06-23",165497
"2020-06-24",165502
"2020-06-25",165733
"2020-06-26",165835
"2020-06-27",165938
"2020-06-28",166097
"2020-06-29",166119
"2020-06-30",166342
"2020-07-01",166509
"2020-07-02",166597
"2020-07-03",166642
"2020-07-04",166811
"2020-07-05",166938
"2020-07-06",167015
"2020-07-07",167184
"2020-07-08",167435
"2020-07-09",167615
"2020-07-10",167671
"2020-07-11",167891
"2020-07-12",167998
"2020-07-13",168137
"2020-07-14",168208
"2020-07-15",168290
"2020-07-16",168547
"2020-07-17",168611
"2020-07-18",168696
"2020-07-19",168783
"2020-07-20",168866
"2020-07-21",169023
"2020-07-22",169032
"2020-07-23",169062
"2020-07-24",169186
"2020-07-25",169222
"2020-07-26",169283
"2020-07-27",169293
"2020-07-28",169373
"2020-07-29",169459
"2020-07-30",169554
"2020-07-31",169637
"2020-08-01",169748
"2020-08-02",169822
"2020-08-03",169865
"2020-08-04",170133
"2020-08-05",170406
"2020-08-06",170617
"2020-08-07",170764
"2020-08-08",170855
"2020-08-09",170979
"2020-08-10",171022
"2020-08-11",171120
"2020-08-12",171144
"2020-08-13",171203
"2020-08-14",171309
"2020-08-15",171485
"2020-08-16",171628
"2020-08-17",171761
"2020-08-18",171913
"2020-08-19",171969
"2020-08-20",172074
"2020-08-21",172131
"2020-08-22",172174
"2020-08-23",172241
"2020-08-24",172402
"2020-08-25",172502
"2020-08-26",172605
"2020-08-27",172756
"2020-08-28",172860
"2020-08-29",173052
"2020-08-30",173174
"2020-08-31",173272
"2020-09-01",173352
"2020-09-02",173386
"2020-09-03",173432
"2020-09-04",173529
"2020-09-05",173553
"2020-09-06",173811
"2020-09-07",174004
"2020-09-08",174100
"2020-09-09",174270
"2020-09-10",174456
"2020-09-11",174622
"2020-09-12",174757
"2020-09-13",174879
"2020-09-14",174907
"2020-09-15",175246
"2020-09-16",175527
"2020-09-17",175742
"2020-09-18",176017
"2020-09-19",176127
"2020-09-20",176376
"2020-09-21",176504
"2020-09-22",177004
"2020-09-23",177525
"2020-09-24",177870
"2020-09-25",178261
"2020-09-26",178712
"2020-09-27",179040
"2020-09-28",179302
"2020-09-29",179550
"2020-09-30",179817
"2020-10-01",180084
"2020-10-02",180479
"2020-10-03",180737
"2020-10-04",181049
"2020-10-05",181404
"2020-10-06",181612
"2020-10-07",181838
"2020-10-08",182153
"2020-10-09",182389
"2020-10-10",182543
"2020-10-11",182824
"2020-10-12",182904
"2020-10-13",183131
"2020-10-14",183562
"2020-10-15",183942
"2020-10-16",184122
"2020-10-17",184476
"2020-10-18",184611
"2020-10-19",184900
"2020-10-20",185055
"2020-10-21",185266
"2020-10-22",185475
"2020-10-23",185608
"2020-10-24",185900
"2020-10-25",186158
"2020-10-26",186403
"2020-10-27",186696
"2020-10-28",186888
"2020-10-29",187171
"2020-10-30",187469
"2020-10-31",187733
"2020-11-01",188027
"2020-11-02",188311
"2020-11-03",188519
"2020-11-04",188660
"2020-11-05",188898
"2020-11-06",189049
"2020-11-07",189238
"2020-11-08",189429
"2020-11-09",189782
"2020-11-10",190063
"2020-11-11",190487
"2020-11-12",191559
"2020-11-13",191736
"2020-11-14",192142
"2020-11-15",192432
"2020-11-16",192720
"2020-11-17",192949
"2020-11-18",193316
"2020-11-19",193656
"2020-11-20",193868
"2020-11-21",194176
"2020-11-22",194651
"2020-11-23",194840
"2020-11-24",195009
"2020-11-25",195141
"2020-11-26",195401
"2020-11-27",195890
"2020-11-28",196229
"2020-11-29",196676
"2020-11-30",196820
"2020-12-01",196967
"2020-12-02",197356
"2020-12-03",197542
"2020-12-04",197801
"2020-12-05",198148
"2020-12-06",198239
"2020-12-07",198468
"2020-12-08",198687
"2020-12-09",198949
"2020-12-10",199150
"2020-12-11",199696
"2020-12-12",199972
"2020-12-13",200263
"2020-12-14",200639
"2020-12-15",200818
"2020-12-16",201121
"2020-12-17",201203
"2020-12-18",201556
"2020-12-19",201878
"2020-12-20",202202
"2020-12-21",202345
"2020-12-22",202644
